RANK,NAME,ROUND 1,ROUND 2,ROUND 3,ROUND 4,ROUND 5,ROUND 6,ROUND 6 MARGIN,TOTAL SCORE,TOTAL MARGIN
35,A Little Tipsy,4,4,6,4,4,3,34,25,135
26,Artie,4,6,5,3,5,3,33,26,146
29,ASAP TB,3,5,5,3,6,4,36,26,181
45,Birko,5,5,5,3,4,2,42,24,154
31,Bradders91,6,3,4,3,6,3,22,25,115
15,Brendon,4,4,5,4,6,4,22,27,121
7,Broncos Pride,4,4,6,5,6,4,52,29,159
23,Corey Mcspadden,4,5,6,2,5,4,28,26,125
32,Corey Rush,4,6,2,3,6,4,26,25,127
22,Cowen Luxford,3,3,5,5,6,4,28,26,123
46,Da DYLSTER,3,4,5,4,6,2,32,24,165
49,Dan Davis,5,4,5,3,3,3,30,23,131
53,Danny,4,4,4,3,3,2,26,20,123
27,DanTau,5,5,5,3,5,3,42,26,157
19,David,5,5,5,3,6,3,27,27,137
37,Eazyyyy,5,5,3,3,5,4,32,25,139
41,Emzie June,5,4,5,3,6,1,28,24,119
14,Erika,4,4,4,4,6,5,21,27,108
51,Estephanie R ,4,4,5,3,5,2,41,23,141
39,Feldt like Drinkwater,6,3,2,4,6,3,28,24,107
12,Haydo,4,4,5,3,7,4,22,27,99
44,Jason Kruys,4,6,5,4,3,2,41,24,142
48,Jaylan Rowe,5,6,4,2,4,2,26,23,129
38,Jess J ,3,5,6,4,4,2,22,24,101
1,Joeydav81,7,3,4,2,14,2,26,32,108
50,Josh,3,6,3,3,6,2,34,23,137
52,josh284,5,5,3,3,4,2,26,22,123
24,Lady Leroy,4,5,5,5,5,2,26,26,127
11,Larco,6,5,5,2,7,3,40,28,131
2,Lee Ding,4,6,6,3,7,4,36,30,118
25,Liams tipping,5,5,6,3,5,2,30,26,137
40,Line Breaker,4,4,5,3,5,3,17,24,112
43,LMHarris,4,5,6,4,4,1,36,24,134
28,Martin-O-Martin,5,6,6,2,3,4,31,26,160
33,Marty Holliss,4,4,5,4,6,2,28,25,129
5,Nardu21,4,6,6,4,6,3,30,29,131
21,NRussell26,5,5,4,4,5,3,26,26,123
36,OhNoBroncos,4,5,5,3,6,2,34,25,137
18,PayneLast,5,6,4,3,6,3,34,27,135
47,Polly,5,4,5,3,6,0,20,23,107
42,Reeeeeety!,4,4,5,2,5,4,28,24,123
3,Ricky,6,6,5,2,7,4,28,30,131
13,ROB BARTUS,6,5,6,3,5,2,26,27,104
4,Robyn,5,6,6,3,7,2,26,29,121
20,Ryan Koning,4,6,5,3,5,3,22,26,113
8,shaun mclean,6,6,4,5,5,2,26,28,113
34,Superior Fursdon,5,5,5,3,4,3,40,25,133
30,Tegan,2,7,7,1,6,2,22,25,105
9,TH,6,6,5,4,5,2,26,28,117
16,TimmySoup,4,6,5,4,5,3,26,27,123
17,Tip-sy Nor,4,5,5,5,6,2,34,27,123
10,tom reed,6,3,5,6,6,2,26,28,121
6,Willsy.,5,6,5,4,6,3,26,29,133
