RANK,NAME,ROUND 1,ROUND 1 MARGIN,TOTAL SCORE,TOTAL MARGIN
46,A Little Tipsy,4,24,4,24
47,Artie,4,28,4,28
52,ASAP TB,3,26,3,26
22,Birko,5,20,5,20
6,Bradders91,6,18,6,18
37,Brendon,4,20,4,20
39,Broncos Pride,4,20,4,20
42,Corey Mcspadden,4,22,4,22
29,Corey Rush,4,16,4,16
50,Cowen Luxford,3,20,3,20
51,Da DYLSTER,3,22,3,22
13,Dan Davis,5,14,5,14
28,Danny,4,14,4,14
25,DanTau,5,32,5,32
15,David,5,16,5,16
18,Eazyyyy,5,20,5,20
14,Emzie June,5,16,5,16
26,Erika,4,14,4,14
44,Estephanie R ,4,22,4,22
5,Feldt like Drinkwater,6,18,6,18
27,Haydo,4,14,4,14
34,Jason Kruys,4,20,4,20
10,Jaylan Rowe,5,0,5,0
48,Jess J ,3,16,3,16
1,Joeydav81,7,7,7,7
49,Josh,3,20,3,20
12,josh284,5,14,5,14
36,Lady Leroy,4,20,4,20
7,Larco,6,18,6,18
31,Lee Ding,4,17,4,17
19,Liams tipping,5,20,5,20
40,Line Breaker,4,20,4,20
38,LMHarris,4,20,4,20
24,Martin-O-Martin,5,25,5,25
45,Marty Holliss,4,22,4,22
33,Nardu21,4,18,4,18
21,NRussell26,5,20,5,20
41,OhNoBroncos,4,22,4,22
23,PayneLast,5,20,5,20
11,Polly,5,10,5,10
32,Reeeeeety!,4,18,4,18
9,Ricky,6,22,6,22
2,ROB BARTUS,6,0,6,0
20,Robyn,5,20,5,20
30,Ryan Koning,4,16,4,16
3,shaun mclean,6,14,6,14
16,Superior Fursdon,5,18,5,18
53,Tegan,2,6,2,6
4,TH,6,16,6,16
35,TimmySoup,4,20,4,20
43,Tip-sy Nor,4,22,4,22
8,tom reed,6,20,6,20
17,Willsy.,5,20,5,20
