RANK,NAME,ROUND 7,ROUND 7 MARGIN,TOTAL MARGIN
5,Bradders91,10,26,141
4,DanTau,10,42,199
2,Larco,10,44,175
24,Dan Davis,8,36,167
10,NRussell26,8,42,165
1,Ricky,8,42,173
7,TimmySoup,8,42,165
6,ROB BARTUS,8,44,148
29,Emzie June,6,38,157
21,Tegan,6,38,143
52,Danny,6,42,165
20,Martin-O-Martin,6,42,202
9,TH,6,42,159
34,Birko,6,44,198
37,Line Breaker,5,33,145
30,Corey Rush,5,38,165
17,Haydo,5,38,137
36,Jess J ,5,38,139
3,Joeydav81,5,38,146
51,josh284,5,38,161
48,Polly,5,38,145
11,shaun mclean,5,38,151
26,Artie,5,40,186
23,Corey Mcspadden,5,40,165
19,PayneLast,5,40,175
38,Reeeeeety!,5,40,163
18,Tip-sy Nor,5,40,163
50,Estephanie R ,5,42,183
49,Jaylan Rowe,5,42,171
25,Lady Leroy,5,42,169
12,tom reed,5,42,163
46,Da DYLSTER,5,44,209
42,LMHarris,5,44,178
45,Jason Kruys,5,46,188
27,ASAP TB,5,48,229
28,Ryan Koning,4,32,145
8,Lee Ding,4,35,153
22,Brendon,4,38,159
47,Feldt like Drinkwater,4,38,145
40,OhNoBroncos,4,38,175
41,A Little Tipsy,4,40,175
39,Marty Holliss,4,40,169
31,Cowen Luxford,4,42,165
33,Liams tipping,4,42,179
13,Robyn,4,42,163
44,Eazyyyy,4,44,183
14,Nardu21,4,44,175
15,Willsy.,4,44,177
16,Broncos Pride,4,46,205
43,Superior Fursdon,4,46,179
53,Josh,3,37,174
32,David,3,41,178
35,Erika,2,30,138
