RANK,NAME,ROUND 1,ROUND 2,ROUND 3,ROUND 4,ROUND 5,ROUND 6,ROUND 7,ROUND 8,ROUND 9,ROUND 10,ROUND 10 MARGIN,TOTAL SCORE,TOTAL MARGIN
1,TH,6,6,5,4,5,2,6,17,5,6,22,62,196
2,Brendon,4,4,5,4,6,4,4,17,5,5,26,58,208
3,Corey Rush,4,6,2,3,6,4,5,17,5,5,22,57,206
4,Joeydav81,7,3,4,2,14,2,5,6,6,7,24,56,191
5,Polly,5,4,5,3,6,0,5,7,6,14,30,55,190
6,Bradders91,6,3,4,3,6,3,10,6,6,7,24,54,198
7,Reeeeeety!,4,4,5,2,5,4,5,5,14,6,26,54,208
8,Ricky,6,6,5,2,7,4,8,6,4,6,32,54,238
9,Larco,6,5,5,2,7,3,10,5,7,4,40,54,268
10,Robyn,5,6,6,3,7,2,4,7,6,7,22,53,200
11,Lee Ding,4,6,6,3,7,4,4,6,7,6,27,53,208
12,Line Breaker,4,4,5,3,5,3,5,6,12,6,31,53,211
13,LMHarris,4,5,6,4,4,1,5,17,4,3,38,53,253
14,TimmySoup,4,6,5,4,5,3,8,5,5,7,22,52,222
15,ROB BARTUS,6,5,6,3,5,2,8,5,6,5,20,51,181
16,shaun mclean,6,6,4,5,5,2,5,7,4,7,26,51,212
17,DanTau,5,5,5,3,5,3,10,4,5,6,22,51,256
18,NRussell26,5,5,4,4,5,3,8,6,4,6,22,50,220
19,Nardu21,4,6,6,4,6,3,4,6,4,7,22,50,236
20,Haydo,4,4,5,3,7,4,5,7,5,5,28,49,188
21,Tip-sy Nor,4,5,5,5,6,2,5,5,6,6,26,49,222
22,Jason Kruys,4,6,5,4,3,2,5,6,4,10,22,49,225
23,Lady Leroy,4,5,5,5,5,2,5,9,4,5,22,49,226
24,Liams tipping,5,5,6,3,5,2,4,10,5,4,42,49,260
25,Jess J ,3,5,6,4,4,2,5,7,6,6,26,48,200
26,PayneLast,5,6,4,3,6,3,5,5,5,6,20,48,210
27,David,5,5,5,3,6,3,3,9,4,5,22,48,219
28,tom reed,6,3,5,6,6,2,5,5,5,5,22,48,220
29,OhNoBroncos,4,5,5,3,6,2,4,7,5,7,28,48,230
30,Dan Davis,5,4,5,3,3,3,8,5,5,7,28,48,230
31,Cowen Luxford,3,3,5,5,6,4,4,10,3,5,40,48,238
32,Martin-O-Martin,5,6,6,2,3,4,6,7,5,4,32,48,249
33,A Little Tipsy,4,4,6,4,4,3,4,7,4,7,22,47,216
34,Birko,5,5,5,3,4,2,6,7,7,3,12,47,225
35,Broncos Pride,4,4,6,5,6,4,4,5,4,5,22,47,262
36,Erika,4,4,4,4,6,5,2,6,5,6,30,46,203
37,Emzie June,5,4,5,3,6,1,6,7,5,4,32,46,212
38,Josh,3,6,3,3,6,2,3,7,6,7,30,46,227
39,Willsy.,5,6,5,4,6,3,4,6,3,4,22,46,236
40,Artie,4,6,5,3,5,3,5,7,4,4,32,46,251
41,ASAP TB,3,5,5,3,6,4,5,4,6,5,12,46,272
42,Da DYLSTER,3,4,5,4,6,2,5,7,6,3,44,45,290
43,Tegan,2,7,7,1,6,2,6,3,3,7,22,44,202
44,Feldt like Drinkwater,6,3,2,4,6,3,4,5,7,4,38,44,206
45,Ryan Koning,4,6,5,3,5,3,4,4,5,5,32,44,218
46,Superior Fursdon,5,5,5,3,4,3,4,5,4,6,24,44,240
47,Estephanie R ,4,4,5,3,5,2,5,5,5,6,20,44,244
48,Jaylan Rowe,5,6,4,2,4,2,5,8,3,5,42,44,254
49,josh284,5,5,3,3,4,2,5,7,5,4,32,43,218
50,Marty Holliss,4,4,5,4,6,2,4,5,5,4,32,43,236
51,Eazyyyy,5,5,3,3,5,4,4,5,4,5,42,43,260
52,Corey Mcspadden,4,5,6,2,5,4,5,3,4,4,24,42,220
53,Danny,4,4,4,3,3,2,6,5,2,6,22,39,238
