RANK,NAME,ROUND 13,ROUND 13 MARGIN,TOTAL SCORE,TOTAL MARGIN
1,TH,6,6,5,4,5,2,6,17,5,6,6,6,2,16,76,226
2,Brendon,4,4,5,4,6,4,4,17,5,5,7,4,3,16,72,242
3,Bradders91,6,3,4,3,6,3,10,6,6,7,6,6,5,0,71,214
4,Robyn,5,6,6,3,7,2,4,7,6,7,12,3,3,16,71,241
5,Corey Rush,4,6,2,3,6,4,5,17,5,5,5,4,2,16,68,234
6,Joeydav81,7,3,4,2,14,2,5,6,6,7,6,4,2,16,68,237
7,Lee Ding,4,6,6,3,7,4,4,6,7,6,7,3,5,2,68,243
8,TimmySoup,4,6,5,4,5,3,8,5,5,7,7,4,5,2,68,254
9,Larco,6,5,5,2,7,3,10,5,7,4,5,6,3,16,68,294
10,Polly,5,4,5,3,6,0,5,7,6,14,6,3,2,12,66,234
11,Reeeeeety!,4,4,5,2,5,4,5,5,14,6,7,2,3,14,66,252
12,Line Breaker,4,4,5,3,5,3,5,6,12,6,7,4,1,7,65,246
13,Nardu21,4,6,6,4,6,3,4,6,4,7,6,6,3,0,65,256
14,shaun mclean,6,6,4,5,5,2,5,7,4,7,6,3,4,2,64,244
15,DanTau,5,5,5,3,5,3,10,4,5,6,6,4,3,16,64,304
16,Jason Kruys,4,6,5,4,3,2,5,6,4,10,6,4,4,19,63,265
17,LMHarris,4,5,6,4,4,1,5,17,4,3,5,3,2,0,63,283
18,Jess J ,3,5,6,4,4,2,5,7,6,6,6,4,4,2,62,222
19,ROB BARTUS,6,5,6,3,5,2,8,5,6,5,6,3,2,16,62,227
20,NRussell26,5,5,4,4,5,3,8,6,4,6,5,4,3,16,62,266
21,Ricky,6,6,5,2,7,4,8,6,4,6,2,3,3,18,62,280
22,Liams tipping,5,5,6,3,5,2,4,10,5,4,5,4,4,4,62,314
23,Lady Leroy,4,5,5,5,5,2,5,9,4,5,7,3,2,16,61,272
24,Haydo,4,4,5,3,7,4,5,7,5,5,4,4,3,10,60,216
25,Erika,4,4,4,4,6,5,2,6,5,6,6,6,2,9,60,242
26,David,5,5,5,3,6,3,3,9,4,5,6,4,2,16,60,251
27,PayneLast,5,6,4,3,6,3,5,5,5,6,7,3,2,12,60,252
28,Dan Davis,5,4,5,3,3,3,8,5,5,7,5,3,4,4,60,264
29,OhNoBroncos,4,5,5,3,6,2,4,7,5,7,6,3,3,10,60,268
30,Martin-O-Martin,5,6,6,2,3,4,6,7,5,4,5,3,4,4,60,283
31,Broncos Pride,4,4,6,5,6,4,4,5,4,5,7,3,3,18,60,320
32,A Little Tipsy,4,4,6,4,4,3,4,7,4,7,6,3,3,2,59,240
33,Tip-sy Nor,4,5,5,5,6,2,5,5,6,6,6,3,1,12,59,264
34,tom reed,6,3,5,6,6,2,5,5,5,5,6,3,1,16,58,250
35,Marty Holliss,4,4,5,4,6,2,4,5,5,4,6,4,5,2,58,268
36,Cowen Luxford,3,3,5,5,6,4,4,10,3,5,5,3,2,21,58,273
37,Birko,5,5,5,3,4,2,6,7,7,3,6,3,2,22,58,279
38,Da DYLSTER,3,4,5,4,6,2,5,7,6,3,6,4,3,6,58,316
39,Ryan Koning,4,6,5,3,5,3,4,4,5,5,7,6,0,6,57,242
40,Eazyyyy,5,5,3,3,5,4,4,5,4,5,6,4,4,14,57,290
41,Willsy.,5,6,5,4,6,3,4,6,3,4,6,3,2,16,57,292
42,Tegan,2,7,7,1,6,2,6,3,3,7,5,6,1,10,56,246
43,Emzie June,5,4,5,3,6,1,6,7,5,4,4,3,3,12,56,254
44,Superior Fursdon,5,5,5,3,4,3,4,5,4,6,7,3,2,16,56,292
45,ASAP TB,3,5,5,3,6,4,5,4,6,5,5,3,2,10,56,300
46,Feldt like Drinkwater,6,3,2,4,6,3,4,5,7,4,5,3,3,1,55,253
47,josh284,5,5,3,3,4,2,5,7,5,4,6,3,3,12,55,260
48,Estephanie R ,4,4,5,3,5,2,5,5,5,6,4,3,4,18,55,282
49,Artie,4,6,5,3,5,3,5,7,4,4,3,3,2,14,54,291
50,Jaylan Rowe,5,6,4,2,4,2,5,8,3,5,6,0,4,4,54,298
51,Corey Mcspadden,4,5,6,2,5,4,5,3,4,4,6,2,3,16,53,268
52,Josh,3,6,3,3,6,2,3,7,6,7,0,0,3,6,49,263
53,Danny,4,4,4,3,3,2,6,5,2,6,3,2,0,6,44,284
