RANK,NAME,ROUND 1,ROUND 2,ROUND 3,ROUND 4,ROUND 5,ROUND 6,ROUND 7,ROUND 8,ROUND 9,ROUND 10,ROUND 11,ROUND 12,ROUND 13,ROUND 14,ROUND 14 MARGIN,TOTAL SCORE,TOTAL MARGIN
1,TH,6,6,5,4,5,2,6,17,5,6,6,6,2,7,4,83,230
2,Brendon,4,4,5,4,6,4,4,17,5,5,7,4,3,6,8,78,250
3,Robyn,5,6,6,3,7,2,4,7,6,7,12,3,3,6,4,77,245
4,Bradders91,6,3,4,3,6,3,10,6,6,7,6,6,5,5,20,76,234
5,Lee Ding,4,6,6,3,7,4,4,6,7,6,7,3,5,7,5,75,248
6,TimmySoup,4,6,5,4,5,3,8,5,5,7,7,4,5,7,4,75,258
7,OhNoBroncos,4,5,5,3,6,2,4,7,5,7,6,3,3,14,4,74,272
8,Larco,6,5,5,2,7,3,10,5,7,4,5,6,3,6,6,74,300
9,Corey Rush,4,6,2,3,6,4,5,17,5,5,5,4,2,4,17,72,251
10,Polly,5,4,5,3,6,0,5,7,6,14,6,3,2,6,20,72,254
11,Line Breaker,4,4,5,3,5,3,5,6,12,6,7,4,1,7,12,72,258
12,Joeydav81,7,3,4,2,14,2,5,6,6,7,6,4,2,4,22,72,259
13,Nardu21,4,6,6,4,6,3,4,6,4,7,6,6,3,7,6,72,262
14,shaun mclean,6,6,4,5,5,2,5,7,4,7,6,3,4,7,10,71,254
15,Reeeeeety!,4,4,5,2,5,4,5,5,14,6,7,2,3,4,4,70,256
16,DanTau,5,5,5,3,5,3,10,4,5,6,6,4,3,6,4,70,308
17,ROB BARTUS,6,5,6,3,5,2,8,5,6,5,6,3,2,7,4,69,231
18,Jess J ,3,5,6,4,4,2,5,7,6,6,6,4,4,7,10,69,232
19,NRussell26,5,5,4,4,5,3,8,6,4,6,5,4,3,7,2,69,268
20,Jason Kruys,4,6,5,4,3,2,5,6,4,10,6,4,4,6,4,69,269
21,Liams tipping,5,5,6,3,5,2,4,10,5,4,5,4,4,7,4,69,318
22,Dan Davis,5,4,5,3,3,3,8,5,5,7,5,3,4,7,6,67,270
23,Lady Leroy,4,5,5,5,5,2,5,9,4,5,7,3,2,6,24,67,296
24,Broncos Pride,4,4,6,5,6,4,4,5,4,5,7,3,3,7,1,67,321
25,Haydo,4,4,5,3,7,4,5,7,5,5,4,4,3,6,8,66,224
26,Erika,4,4,4,4,6,5,2,6,5,6,6,6,2,6,9,66,251
27,PayneLast,5,6,4,3,6,3,5,5,5,6,7,3,2,6,6,66,258
28,LMHarris,4,5,6,4,4,1,5,17,4,3,5,3,2,3,14,66,297
29,A Little Tipsy,4,4,6,4,4,3,4,7,4,7,6,3,3,6,22,65,262
30,Marty Holliss,4,4,5,4,6,2,4,5,5,4,6,4,5,7,4,65,272
31,David,5,5,5,3,6,3,3,9,4,5,6,4,2,5,24,65,275
32,tom reed,6,3,5,6,6,2,5,5,5,5,6,3,1,6,4,64,254
33,Tip-sy Nor,4,5,5,5,6,2,5,5,6,6,6,3,1,5,8,64,272
34,Eazyyyy,5,5,3,3,5,4,4,5,4,5,6,4,4,7,4,64,294
35,Willsy.,5,6,5,4,6,3,4,6,3,4,6,3,2,7,4,64,296
36,Martin-O-Martin,5,6,6,2,3,4,6,7,5,4,5,3,4,4,14,64,297
37,Da DYLSTER,3,4,5,4,6,2,5,7,6,3,6,4,3,6,2,64,318
38,Birko,5,5,5,3,4,2,6,7,7,3,6,3,2,5,4,63,283
39,Ryan Koning,4,6,5,3,5,3,4,4,5,5,7,6,0,5,14,62,256
40,Emzie June,5,4,5,3,6,1,6,7,5,4,4,3,3,6,8,62,262
41,josh284,5,5,3,3,4,2,5,7,5,4,6,3,3,7,8,62,268
42,Superior Fursdon,5,5,5,3,4,3,4,5,4,6,7,3,2,6,2,62,294
43,Ricky,6,6,5,2,7,4,8,6,4,6,2,3,3,0,14,62,294
44,ASAP TB,3,5,5,3,6,4,5,4,6,5,5,3,2,6,3,62,303
45,Tegan,2,7,7,1,6,2,6,3,3,7,5,6,1,4,18,60,264
46,Estephanie R ,4,4,5,3,5,2,5,5,5,6,4,3,4,5,14,60,296
47,Jaylan Rowe,5,6,4,2,4,2,5,8,3,5,6,0,4,6,8,60,306
48,Cowen Luxford,3,3,5,5,6,4,4,10,3,5,5,3,2,0,14,58,287
49,Corey Mcspadden,4,5,6,2,5,4,5,3,4,4,6,2,3,4,6,57,274
50,Feldt like Drinkwater,6,3,2,4,6,3,4,5,7,4,5,3,3,2,22,57,275
51,Artie,4,6,5,3,5,3,5,7,4,4,3,3,2,3,24,57,315
52,Josh,3,6,3,3,6,2,3,7,6,7,0,0,3,0,14,49,277
53,Danny,4,4,4,3,3,2,6,5,2,6,3,2,0,0,14,44,298
