RANK,NAME,ROUND 1,ROUND 2,ROUND 3,ROUND 4,ROUND 5,ROUND 6,ROUND 7,ROUND 8,ROUND 9,ROUND 10,ROUND 11,ROUND 12,ROUND 13,ROUND 14,ROUND 15,ROUND 15 MARGIN,TOTAL SCORE,TOTAL MARGIN
1,TH,6,6,5,4,5,2,6,17,5,6,6,6,2,7,3,32,86,262
2,Brendon,4,4,5,4,6,4,4,17,5,5,7,4,3,6,3,34,81,284
3,Robyn,5,6,6,3,7,2,4,7,6,7,12,3,3,6,3,32,80,277
4,Bradders91,6,3,4,3,6,3,10,6,6,7,6,6,5,5,3,32,79,266
5,Lee Ding,4,6,6,3,7,4,4,6,7,6,7,3,5,7,3,37,78,285
6,TimmySoup,4,6,5,4,5,3,8,5,5,7,7,4,5,7,3,32,78,290
7,OhNoBroncos,4,5,5,3,6,2,4,7,5,7,6,3,3,14,3,38,77,310
8,Larco,6,5,5,2,7,3,10,5,7,4,5,6,3,6,2,30,76,330
9,Joeydav81,7,3,4,2,14,2,5,6,6,7,6,4,2,4,3,34,75,293
10,Nardu21,4,6,6,4,6,3,4,6,4,7,6,6,3,7,3,36,75,298
11,shaun mclean,6,6,4,5,5,2,5,7,4,7,6,3,4,7,3,38,74,292
12,Corey Rush,4,6,2,3,6,4,5,17,5,5,5,4,2,4,2,48,74,299
13,Polly,5,4,5,3,6,0,5,7,6,14,6,3,2,6,1,42,73,296
14,Line Breaker,4,4,5,3,5,3,5,6,12,6,7,4,1,7,1,43,73,301
15,DanTau,5,5,5,3,5,3,10,4,5,6,6,4,3,6,3,18,73,326
16,ROB BARTUS,6,5,6,3,5,2,8,5,6,5,6,3,2,7,3,32,72,263
17,Jess J ,3,5,6,4,4,2,5,7,6,6,6,4,4,7,3,38,72,270
18,Reeeeeety!,4,4,5,2,5,4,5,5,14,6,7,2,3,4,2,34,72,290
19,NRussell26,5,5,4,4,5,3,8,6,4,6,5,4,3,7,2,48,71,316
20,Jason Kruys,4,6,5,4,3,2,5,6,4,10,6,4,4,6,2,52,71,321
21,Liams tipping,5,5,6,3,5,2,4,10,5,4,5,4,4,7,2,26,71,344
22,Dan Davis,5,4,5,3,3,3,8,5,5,7,5,3,4,7,3,34,70,304
23,Erika,4,4,4,4,6,5,2,6,5,6,6,6,2,6,3,38,69,289
24,PayneLast,5,6,4,3,6,3,5,5,5,6,7,3,2,6,3,32,69,290
25,Haydo,4,4,5,3,7,4,5,7,5,5,4,4,3,6,2,46,68,270
26,tom reed,6,3,5,6,6,2,5,5,5,5,6,3,1,6,4,32,68,286
27,A Little Tipsy,4,4,6,4,4,3,4,7,4,7,6,3,3,6,3,28,68,290
28,Tip-sy Nor,4,5,5,5,6,2,5,5,6,6,6,3,1,5,4,30,68,302
29,David,5,5,5,3,6,3,3,9,4,5,6,4,2,5,3,31,68,306
30,LMHarris,4,5,6,4,4,1,5,17,4,3,5,3,2,3,2,42,68,339
31,Lady Leroy,4,5,5,5,5,2,5,9,4,5,7,3,2,6,1,52,68,348
32,Marty Holliss,4,4,5,4,6,2,4,5,5,4,6,4,5,7,2,34,67,306
33,Martin-O-Martin,5,6,6,2,3,4,6,7,5,4,5,3,4,4,3,32,67,329
34,Da DYLSTER,3,4,5,4,6,2,5,7,6,3,6,4,3,6,3,30,67,348
35,Broncos Pride,4,4,6,5,6,4,4,5,4,5,7,3,3,7,0,52,67,373
36,Eazyyyy,5,5,3,3,5,4,4,5,4,5,6,4,4,7,2,32,66,326
37,Ryan Koning,4,6,5,3,5,3,4,4,5,5,7,6,0,5,3,36,65,292
38,Superior Fursdon,5,5,5,3,4,3,4,5,4,6,7,3,2,6,3,32,65,326
39,ASAP TB,3,5,5,3,6,4,5,4,6,5,5,3,2,6,3,30,65,333
40,Willsy.,5,6,5,4,6,3,4,6,3,4,6,3,2,7,1,52,65,348
41,Emzie June,5,4,5,3,6,1,6,7,5,4,4,3,3,6,2,48,64,310
42,josh284,5,5,3,3,4,2,5,7,5,4,6,3,3,7,2,48,64,316
43,Birko,5,5,5,3,4,2,6,7,7,3,6,3,2,5,1,50,64,333
44,Tegan,2,7,7,1,6,2,6,3,3,7,5,6,1,4,3,52,63,316
45,Ricky,6,6,5,2,7,4,8,6,4,6,2,3,3,0,0,42,62,336
46,Estephanie R ,4,4,5,3,5,2,5,5,5,6,4,3,4,5,2,42,62,338
47,Cowen Luxford,3,3,5,5,6,4,4,10,3,5,5,3,2,0,3,32,61,319
48,Jaylan Rowe,5,6,4,2,4,2,5,8,3,5,6,0,4,6,1,42,61,348
49,Corey Mcspadden,4,5,6,2,5,4,5,3,4,4,6,2,3,4,3,32,60,306
50,Artie,4,6,5,3,5,3,5,7,4,4,3,3,2,3,2,50,59,365
51,Feldt like Drinkwater,6,3,2,4,6,3,4,5,7,4,5,3,3,2,1,50,58,325
52,Josh,3,6,3,3,6,2,3,7,6,7,0,0,3,0,2,42,51,319
53,Danny,4,4,4,3,3,2,6,5,2,6,3,2,0,0,0,42,44,340
