RANK,NAME,ROUND 1,ROUND 2,ROUND 3,ROUND 4,ROUND 5,ROUND 6,ROUND 7,ROUND 8,ROUND 9,ROUND 10,ROUND 11,ROUND 12,ROUND 13,ROUND 14,ROUND 15,ROUND 16,ROUND 17,ROUND 17 MARGIN,TOTAL SCORE,TOTAL MARGIN
1,TH,6,6,5,4,5,2,6,17,5,6,6,6,2,7,3,5,7,12,98,282
2,Brendon,4,4,5,4,6,4,4,17,5,5,7,4,3,6,3,5,6,10,92,302
3,TimmySoup,4,6,5,4,5,3,8,5,5,7,7,4,5,7,3,5,7,10,90,308
4,Robyn,5,6,6,3,7,2,4,7,6,7,12,3,3,6,3,6,4,30,90,315
5,Bradders91,6,3,4,3,6,3,10,6,6,7,6,6,5,5,3,3,6,20,88,288
6,Lee Ding,4,6,6,3,7,4,4,6,7,6,7,3,5,7,3,5,5,21,88,309
7,Nardu21,4,6,6,4,6,3,4,6,4,7,6,6,3,7,3,6,7,12,88,320
8,OhNoBroncos,4,5,5,3,6,2,4,7,5,7,6,3,3,14,3,5,6,12,88,336
9,Joeydav81,7,3,4,2,14,2,5,6,6,7,6,4,2,4,3,6,6,20,87,323
10,PayneLast,5,6,4,3,6,3,5,5,5,6,7,3,2,6,3,5,12,12,86,315
11,Larco,6,5,5,2,7,3,10,5,7,4,5,6,3,6,2,4,6,8,86,350
12,shaun mclean,6,6,4,5,5,2,5,7,4,7,6,3,4,7,3,5,6,14,85,314
13,Line Breaker,4,4,5,3,5,3,5,6,12,6,7,4,1,7,1,5,7,19,85,320
14,ROB BARTUS,6,5,6,3,5,2,8,5,6,5,6,3,2,7,3,5,7,10,84,281
15,Corey Rush,4,6,2,3,6,4,5,17,5,5,5,4,2,4,2,5,5,10,84,317
16,Polly,5,4,5,3,6,0,5,7,6,14,6,3,2,6,1,5,6,20,84,318
17,Jess J ,3,5,6,4,4,2,5,7,6,6,6,4,4,7,3,5,6,16,83,289
18,DanTau,5,5,5,3,5,3,10,4,5,6,6,4,3,6,3,4,6,10,83,344
19,Broncos Pride,4,4,6,5,6,4,4,5,4,5,7,3,3,7,0,10,6,5,83,401
20,Liams tipping,5,5,6,3,5,2,4,10,5,4,5,4,4,7,2,5,6,10,82,362
21,Reeeeeety!,4,4,5,2,5,4,5,5,14,6,7,2,3,4,2,4,5,10,81,306
22,Erika,4,4,4,4,6,5,2,6,5,6,6,6,2,6,3,5,7,16,81,307
23,tom reed,6,3,5,6,6,2,5,5,5,5,6,3,1,6,4,5,7,5,80,314
24,Dan Davis,5,4,5,3,3,3,8,5,5,7,5,3,4,7,3,5,5,14,80,326
25,NRussell26,5,5,4,4,5,3,8,6,4,6,5,4,3,7,2,5,4,8,80,332
26,Jason Kruys,4,6,5,4,3,2,5,6,4,10,6,4,4,6,2,5,4,30,80,373
27,LMHarris,4,5,6,4,4,1,5,17,4,3,5,3,2,3,2,4,7,12,79,361
28,Lady Leroy,4,5,5,5,5,2,5,9,4,5,7,3,2,6,1,6,5,10,79,366
29,Marty Holliss,4,4,5,4,6,2,4,5,5,4,6,4,5,7,2,5,6,8,78,324
30,Tip-sy Nor,4,5,5,5,6,2,5,5,6,6,6,3,1,5,4,4,6,12,78,328
31,Da DYLSTER,3,4,5,4,6,2,5,7,6,3,6,4,3,6,3,5,6,4,78,370
32,Haydo,4,4,5,3,7,4,5,7,5,5,4,4,3,6,2,4,5,14,77,288
33,Ryan Koning,4,6,5,3,5,3,4,4,5,5,7,6,0,5,3,5,7,14,77,310
34,David,5,5,5,3,6,3,3,9,4,5,6,4,2,5,3,4,5,10,77,326
35,Superior Fursdon,5,5,5,3,4,3,4,5,4,6,7,3,2,6,3,5,7,8,77,352
36,A Little Tipsy,4,4,6,4,4,3,4,7,4,7,6,3,3,6,3,3,5,8,76,306
37,Eazyyyy,5,5,3,3,5,4,4,5,4,5,6,4,4,7,2,5,4,20,75,360
38,Emzie June,5,4,5,3,6,1,6,7,5,4,4,3,3,6,2,5,5,14,74,328
39,ASAP TB,3,5,5,3,6,4,5,4,6,5,5,3,2,6,3,4,5,4,74,345
40,josh284,5,5,3,3,4,2,5,7,5,4,6,3,3,7,2,5,4,26,73,350
41,Birko,5,5,5,3,4,2,6,7,7,3,6,3,2,5,1,5,4,12,73,355
42,Willsy.,5,6,5,4,6,3,4,6,3,4,6,3,2,7,1,3,5,8,73,358
43,Martin-O-Martin,5,6,6,2,3,4,6,7,5,4,5,3,4,4,3,0,5,10,72,341
44,Tegan,2,7,7,1,6,2,6,3,3,7,5,6,1,4,3,4,5,26,72,344
45,Jaylan Rowe,5,6,4,2,4,2,5,8,3,5,6,0,4,6,1,5,6,10,72,372
46,Estephanie R ,4,4,5,3,5,2,5,5,5,6,4,3,4,5,2,5,5,26,72,374
47,Cowen Luxford,3,3,5,5,6,4,4,10,3,5,5,3,2,0,3,4,6,10,71,337
48,Corey Mcspadden,4,5,6,2,5,4,5,3,4,4,6,2,3,4,3,3,6,10,69,330
49,Feldt like Drinkwater,6,3,2,4,6,3,4,5,7,4,5,3,3,2,1,4,6,12,68,345
50,Artie,4,6,5,3,5,3,5,7,4,4,3,3,2,3,2,4,5,12,68,385
51,Ricky,6,6,5,2,7,4,8,6,4,6,2,3,3,0,0,0,0,20,62,358
52,Josh,3,6,3,3,6,2,3,7,6,7,0,0,3,0,2,6,4,30,61,357
53,Danny,4,4,4,3,3,2,6,5,2,6,3,2,0,0,0,0,0,20,44,362
