RANK,NAME,ROUND 1,ROUND 2,ROUND 3,ROUND 4,ROUND 5,ROUND 6,ROUND 7,ROUND 8,ROUND 9,ROUND 10,ROUND 11,ROUND 12,ROUND 13,ROUND 14,ROUND 15,ROUND 16,ROUND 17,ROUND 18,ROUND 19,ROUND 20,ROUND 20 MARGIN,TOTAL SCORE,TOTAL MARGIN
1,TH,6,6,5,4,5,2,6,17,5,6,6,6,2,7,3,5,7,2,3,4,12,107,322
2,Brendon,4,4,5,4,6,4,4,17,5,5,7,4,3,6,3,5,6,2,5,5,12,104,344
3,Robyn,5,6,6,3,7,2,4,7,6,7,12,3,3,6,3,6,4,3,4,6,12,103,355
4,TimmySoup,4,6,5,4,5,3,8,5,5,7,7,4,5,7,3,5,7,2,3,6,12,101,348
5,Bradders91,6,3,4,3,6,3,10,6,6,7,6,6,5,5,3,3,6,1,5,6,12,100,348
6,shaun mclean,6,6,4,5,5,2,5,7,4,7,6,3,4,7,3,5,6,2,3,10,8,100,354
7,Nardu21,4,6,6,4,6,3,4,6,4,7,6,6,3,7,3,6,7,3,3,6,20,100,368
8,Lee Ding,4,6,6,3,7,4,4,6,7,6,7,3,5,7,3,5,5,2,3,6,10,99,351
9,Larco,6,5,5,2,7,3,10,5,7,4,5,6,3,6,2,4,6,3,5,5,14,99,386
10,OhNoBroncos,4,5,5,3,6,2,4,7,5,7,6,3,3,14,3,5,6,2,3,6,22,99,386
11,Line Breaker,4,4,5,3,5,3,5,6,12,6,7,4,1,7,1,5,7,3,4,6,7,98,369
12,Joeydav81,7,3,4,2,14,2,5,6,6,7,6,4,2,4,3,6,6,2,3,5,14,97,381
13,PayneLast,5,6,4,3,6,3,5,5,5,6,7,3,2,6,3,5,12,1,3,6,14,96,357
14,Liams tipping,5,5,6,3,5,2,4,10,5,4,5,4,4,7,2,5,6,3,5,5,18,95,386
15,ROB BARTUS,6,5,6,3,5,2,8,5,6,5,6,3,2,7,3,5,7,2,3,5,12,94,319
16,Jess J ,3,5,6,4,4,2,5,7,6,6,6,4,4,7,3,5,6,2,4,5,10,94,337
17,Corey Rush,4,6,2,3,6,4,5,17,5,5,5,4,2,4,2,5,5,1,5,4,12,94,357
18,Polly,5,4,5,3,6,0,5,7,6,14,6,3,2,6,1,5,6,1,4,5,16,94,376
19,Broncos Pride,4,4,6,5,6,4,4,5,4,5,7,3,3,7,0,10,6,1,6,4,2,94,441
20,Reeeeeety!,4,4,5,2,5,4,5,5,14,6,7,2,3,4,2,4,5,4,3,5,12,93,346
21,DanTau,5,5,5,3,5,3,10,4,5,6,6,4,3,6,3,4,6,2,4,4,12,93,372
22,Erika,4,4,4,4,6,5,2,6,5,6,6,6,2,6,3,5,7,3,4,4,6,92,351
23,David,5,5,5,3,6,3,3,9,4,5,6,4,2,5,3,4,5,1,4,10,12,92,366
24,Dan Davis,5,4,5,3,3,3,8,5,5,7,5,3,4,7,3,5,5,1,4,6,12,91,372
25,tom reed,6,3,5,6,6,2,5,5,5,5,6,3,1,6,4,5,7,2,3,5,27,90,369
26,NRussell26,5,5,4,4,5,3,8,6,4,6,5,4,3,7,2,5,4,2,2,6,14,90,391
27,Lady Leroy,4,5,5,5,5,2,5,9,4,5,7,3,2,6,1,6,5,2,4,5,12,90,406
28,Marty Holliss,4,4,5,4,6,2,4,5,5,4,6,4,5,7,2,5,6,2,3,6,14,89,366
29,LMHarris,4,5,6,4,4,1,5,17,4,3,5,3,2,3,2,4,7,2,4,4,14,89,405
30,A Little Tipsy,4,4,6,4,4,3,4,7,4,7,6,3,3,6,3,3,5,3,4,5,14,88,348
31,Superior Fursdon,5,5,5,3,4,3,4,5,4,6,7,3,2,6,3,5,7,2,3,6,16,88,388
32,Tip-sy Nor,4,5,5,5,6,2,5,5,6,6,6,3,1,5,4,4,6,2,4,4,18,88,390
33,Haydo,4,4,5,3,7,4,5,7,5,5,4,4,3,6,2,4,5,1,3,6,0,87,322
34,Jason Kruys,4,6,5,4,3,2,5,6,4,10,6,4,4,6,2,5,4,2,5,0,2,87,393
35,Da DYLSTER,3,4,5,4,6,2,5,7,6,3,6,4,3,6,3,5,6,2,3,4,18,87,416
36,Birko,5,5,5,3,4,2,6,7,7,3,6,3,2,5,1,5,4,2,5,6,0,86,385
37,Willsy.,5,6,5,4,6,3,4,6,3,4,6,3,2,7,1,3,5,0,3,10,22,86,418
38,ASAP TB,3,5,5,3,6,4,5,4,6,5,5,3,2,6,3,4,5,2,5,5,22,86,421
39,Martin-O-Martin,5,6,6,2,3,4,6,7,5,4,5,3,4,4,3,0,5,3,4,6,12,85,381
40,Emzie June,5,4,5,3,6,1,6,7,5,4,4,3,3,6,2,5,5,2,3,5,8,84,368
41,josh284,5,5,3,3,4,2,5,7,5,4,6,3,3,7,2,5,4,2,3,6,14,84,396
42,Feldt like Drinkwater,6,3,2,4,6,3,4,5,7,4,5,3,3,2,1,4,6,2,6,8,12,84,407
43,Eazyyyy,5,5,3,3,5,4,4,5,4,5,6,4,4,7,2,5,4,1,4,4,2,84,410
44,Tegan,2,7,7,1,6,2,6,3,3,7,5,6,1,4,3,4,5,2,3,5,8,82,396
45,Jaylan Rowe,5,6,4,2,4,2,5,8,3,5,6,0,4,6,1,5,6,1,5,4,26,82,424
46,Estephanie R ,4,4,5,3,5,2,5,5,5,6,4,3,4,5,2,5,5,1,3,5,2,81,426
47,Corey Mcspadden,4,5,6,2,5,4,5,3,4,4,6,2,3,4,3,3,6,1,6,4,12,80,388
48,Ryan Koning,4,6,5,3,5,3,4,4,5,5,7,6,0,5,3,5,7,0,0,0,2,77,360
49,Artie,4,6,5,3,5,3,5,7,4,4,3,3,2,3,2,4,5,2,3,3,20,76,427
50,Josh,3,6,3,3,6,2,3,7,6,7,0,0,3,0,2,6,4,4,1,6,12,72,407
51,Cowen Luxford,3,3,5,5,6,4,4,10,3,5,5,3,2,0,3,4,6,0,0,0,2,71,387
52,Ricky,6,6,5,2,7,4,8,6,4,6,2,3,3,0,0,0,0,0,0,0,2,62,408
53,Danny,4,4,4,3,3,2,6,5,2,6,3,2,0,0,0,0,0,0,0,5,8,49,418
