RANK,NAME,ROUND 1,ROUND 2,ROUND 3,ROUND 4,ROUND 5,ROUND 6,ROUND 7,ROUND 8,ROUND 9,ROUND 10,ROUND 11,ROUND 12,ROUND 13,ROUND 14,ROUND 15,ROUND 16,ROUND 17,ROUND 18,ROUND 19,ROUND 20,ROUND 21,ROUND 22,ROUND 22 MARGIN,TOTAL SCORE,TOTAL MARGIN
1,Nardu21,4,6,6,4,6,3,4,6,4,7,6,6,3,7,3,6,7,3,3,6,7,14,62,121,449
2,TH,6,6,5,4,5,2,6,17,5,6,6,6,2,7,3,5,7,2,3,4,6,7,60,120,386
3,Brendon,4,4,5,4,6,4,4,17,5,5,7,4,3,6,3,5,6,2,5,5,5,9,60,118,414
4,Robyn,5,6,6,3,7,2,4,7,6,7,12,3,3,6,3,6,4,3,4,6,6,7,60,116,419
5,Lee Ding,4,6,6,3,7,4,4,6,7,6,7,3,5,7,3,5,5,2,3,6,10,6,64,115,417
6,Joeydav81,7,3,4,2,14,2,5,6,6,7,6,4,2,4,3,6,6,2,3,5,9,9,62,115,449
7,Larco,6,5,5,2,7,3,10,5,7,4,5,6,3,6,2,4,6,3,5,5,7,9,60,115,456
8,Jess J ,3,5,6,4,4,2,5,7,6,6,6,4,4,7,3,5,6,2,4,5,6,14,62,114,405
9,shaun mclean,6,6,4,5,5,2,5,7,4,7,6,3,4,7,3,5,6,2,3,10,5,9,64,114,418
10,Bradders91,6,3,4,3,6,3,10,6,6,7,6,6,5,5,3,3,6,1,5,6,6,7,64,113,414
11,TimmySoup,4,6,5,4,5,3,8,5,5,7,7,4,5,7,3,5,7,2,3,6,4,7,60,112,412
12,OhNoBroncos,4,5,5,3,6,2,4,7,5,7,6,3,3,14,3,5,6,2,3,6,6,7,64,112,456
13,Line Breaker,4,4,5,3,5,3,5,6,12,6,7,4,1,7,1,5,7,3,4,6,6,7,68,111,438
14,Liams tipping,5,5,6,3,5,2,4,10,5,4,5,4,4,7,2,5,6,3,5,5,7,7,58,109,460
15,A Little Tipsy,4,4,6,4,4,3,4,7,4,7,6,3,3,6,3,3,5,3,4,5,14,6,76,108,432
16,PayneLast,5,6,4,3,6,3,5,5,5,6,7,3,2,6,3,5,12,1,3,6,5,6,60,107,429
17,Reeeeeety!,4,4,5,2,5,4,5,5,14,6,7,2,3,4,2,4,5,4,3,5,6,7,76,106,426
18,tom reed,6,3,5,6,6,2,5,5,5,5,6,3,1,6,4,5,7,2,3,5,7,9,60,106,433
19,Lady Leroy,4,5,5,5,5,2,5,9,4,5,7,3,2,6,1,6,5,2,4,5,10,6,60,106,470
20,ROB BARTUS,6,5,6,3,5,2,8,5,6,5,6,3,2,7,3,5,7,2,3,5,4,7,60,105,383
21,David,5,5,5,3,6,3,3,9,4,5,6,4,2,5,3,4,5,1,4,10,6,7,61,105,431
