RANK,NAME,ROUND 1,ROUND 2,ROUND 3,ROUND 4,ROUND 5,ROUND 6,ROUND 7,ROUND 8,ROUND 9,ROUND 10,ROUND 11,ROUND 12,ROUND 13,ROUND 14,ROUND 15,ROUND 16,ROUND 17,ROUND 18,ROUND 19,ROUND 20,ROUND 21,ROUND 22,ROUND 23,ROUND 24,ROUND 24 MARGIN,TOTAL SCORE,TOTAL MARGIN
1,TH,6,6,5,4,5,2,6,17,5,6,6,6,2,7,3,5,7,2,3,4,6,7,6,5,4,131,402
2,Nardu21,4,6,6,4,6,3,4,6,4,7,6,6,3,7,3,6,7,3,3,6,7,14,5,4,0,130,461
3,Brendon,4,4,5,4,6,4,4,17,5,5,7,4,3,6,3,5,6,2,5,5,5,9,6,5,4,129,430
4,Lee Ding,4,6,6,3,7,4,4,6,7,6,7,3,5,7,3,5,5,2,3,6,10,6,6,4,15,125,450
5,Joeydav81,7,3,4,2,14,2,5,6,6,7,6,4,2,4,3,6,6,2,3,5,9,9,5,5,2,125,463
6,shaun mclean,6,6,4,5,5,2,5,7,4,7,6,3,4,7,3,5,6,2,3,10,5,9,6,4,10,124,440
7,Robyn,5,6,6,3,7,2,4,7,6,7,12,3,3,6,3,6,4,3,4,6,6,7,5,3,16,124,447
8,Larco,6,5,5,2,7,3,10,5,7,4,5,6,3,6,2,4,6,3,5,5,7,9,5,3,18,123,488
9,Jess J ,3,5,6,4,4,2,5,7,6,6,6,4,4,7,3,5,6,2,4,5,6,14,4,4,10,122,429
10,Bradders91,6,3,4,3,6,3,10,6,6,7,6,6,5,5,3,3,6,1,5,6,6,7,4,4,0,121,442
11,TimmySoup,4,6,5,4,5,3,8,5,5,7,7,4,5,7,3,5,7,2,3,6,4,7,4,4,16,120,440
12,Line Breaker,4,4,5,3,5,3,5,6,12,6,7,4,1,7,1,5,7,3,4,6,6,7,5,4,7,120,466
13,OhNoBroncos,4,5,5,3,6,2,4,7,5,7,6,3,3,14,3,5,6,2,3,6,6,7,4,4,2,120,474
14,PayneLast,5,6,4,3,6,3,5,5,5,6,7,3,2,6,3,5,12,1,3,6,5,6,7,5,0,119,437
15,David,5,5,5,3,6,3,3,9,4,5,6,4,2,5,3,4,5,1,4,10,6,7,7,6,4,118,447
16,tom reed,6,3,5,6,6,2,5,5,5,5,6,3,1,6,4,5,7,2,3,5,7,9,5,6,4,117,449
17,A Little Tipsy,4,4,6,4,4,3,4,7,4,7,6,3,3,6,3,3,5,3,4,5,14,6,5,4,16,117,464
18,Liams tipping,5,5,6,3,5,2,4,10,5,4,5,4,4,7,2,5,6,3,5,5,7,7,3,5,4,117,476
19,Reeeeeety!,4,4,5,2,5,4,5,5,14,6,7,2,3,4,2,4,5,4,3,5,6,7,5,4,14,115,446
20,Tip-sy Nor,4,5,5,5,6,2,5,5,6,6,6,3,1,5,4,4,6,2,4,4,7,7,8,5,4,115,476
21,Broncos Pride,4,4,6,5,6,4,4,5,4,5,7,3,3,7,0,10,6,1,6,4,6,5,5,5,4,115,534
22,ROB BARTUS,6,5,6,3,5,2,8,5,6,5,6,3,2,7,3,5,7,2,3,5,4,7,6,3,16,114,411
23,Corey Rush,4,6,2,3,6,4,5,17,5,5,5,4,2,4,2,5,5,1,5,4,6,5,5,4,4,114,451
24,Lady Leroy,4,5,5,5,5,2,5,9,4,5,7,3,2,6,1,6,5,2,4,5,10,6,5,3,16,114,498
25,josh284,5,5,3,3,4,2,5,7,5,4,6,3,3,7,2,5,4,2,3,6,6,14,4,5,2,113,490
26,Erika,4,4,4,4,6,5,2,6,5,6,6,6,2,6,3,5,7,3,4,4,3,6,6,4,16,111,451
27,NRussell26,5,5,4,4,5,3,8,6,4,6,5,4,3,7,2,5,4,2,2,6,6,6,4,5,2,111,467
28,Polly,5,4,5,3,6,0,5,7,6,14,6,3,2,6,1,5,6,1,4,5,5,6,2,4,6,111,474
29,Birko,5,5,5,3,4,2,6,7,7,3,6,3,2,5,1,5,4,2,5,6,5,12,4,4,6,111,485
30,Jason Kruys,4,6,5,4,3,2,5,6,4,10,6,4,4,6,2,5,4,2,5,0,5,9,6,4,4,111,488
31,DanTau,5,5,5,3,5,3,10,4,5,6,6,4,3,6,3,4,6,2,4,4,3,6,5,4,16,111,496
32,Dan Davis,5,4,5,3,3,3,8,5,5,7,5,3,4,7,3,5,5,1,4,6,5,7,5,2,7,110,459
33,Da DYLSTER,3,4,5,4,6,2,5,7,6,3,6,4,3,6,3,5,6,2,3,4,6,7,5,5,4,110,504
34,Emzie June,5,4,5,3,6,1,6,7,5,4,4,3,3,6,2,5,5,2,3,5,5,12,4,4,12,109,472
35,Marty Holliss,4,4,5,4,6,2,4,5,5,4,6,4,5,7,2,5,6,2,3,6,5,5,5,5,14,109,476
36,ASAP TB,3,5,5,3,6,4,5,4,6,5,5,3,2,6,3,4,5,2,5,5,5,5,8,5,4,109,532
37,Superior Fursdon,5,5,5,3,4,3,4,5,4,6,7,3,2,6,3,5,7,2,3,6,4,6,5,5,20,108,514
38,Haydo,4,4,5,3,7,4,5,7,5,5,4,4,3,6,2,4,5,1,3,6,5,7,4,4,2,107,404
