RANK,NAME,ROUND 26,ROUND 26 MARGIN,TOTAL SCORE,TOTAL MARGIN
1,TH,6,6,5,4,5,2,6,17,5,6,6,6,2,7,3,5,7,2,3,4,6,7,6,5,5,6,16,142,420
2,Nardu21,4,6,6,4,6,3,4,6,4,7,6,6,3,7,3,6,7,3,3,6,7,14,5,4,5,6,22,141,485
3,Brendon,4,4,5,4,6,4,4,17,5,5,7,4,3,6,3,5,6,2,5,5,5,9,6,5,5,6,36,140,468
4,shaun mclean,6,6,4,5,5,2,5,7,4,7,6,3,4,7,3,5,6,2,3,10,5,9,6,4,5,7,22,136,464
5,Jess J ,3,5,6,4,4,2,5,7,6,6,6,4,4,7,3,5,6,2,4,5,6,14,4,4,5,7,20,134,453
6,Lee Ding,4,6,6,3,7,4,4,6,7,6,7,3,5,7,3,5,5,2,3,6,10,6,6,4,3,6,17,134,476
7,Joeydav81,7,3,4,2,14,2,5,6,6,7,6,4,2,4,3,6,6,2,3,5,9,9,5,5,4,4,18,133,481
8,Larco,6,5,5,2,7,3,10,5,7,4,5,6,3,6,2,4,6,3,5,5,7,9,5,3,4,6,32,133,522
9,Bradders91,6,3,4,3,6,3,10,6,6,7,6,6,5,5,3,3,6,1,5,6,6,7,4,4,5,6,14,132,458
10,PayneLast,5,6,4,3,6,3,5,5,5,6,7,3,2,6,3,5,12,1,3,6,5,6,7,5,5,7,18,131,457
11,TimmySoup,4,6,5,4,5,3,8,5,5,7,7,4,5,7,3,5,7,2,3,6,4,7,4,4,5,6,16,131,458
12,Line Breaker,4,4,5,3,5,3,5,6,12,6,7,4,1,7,1,5,7,3,4,6,6,7,5,4,5,6,25,131,493
13,OhNoBroncos,4,5,5,3,6,2,4,7,5,7,6,3,3,14,3,5,6,2,3,6,6,7,4,4,5,6,22,131,500
14,Robyn,5,6,6,3,7,2,4,7,6,7,12,3,3,6,3,6,4,3,4,6,6,7,5,3,5,0,26,129,475
15,David,5,5,5,3,6,3,3,9,4,5,6,4,2,5,3,4,5,1,4,10,6,7,7,6,5,6,34,129,483
16,tom reed,6,3,5,6,6,2,5,5,5,5,6,3,1,6,4,5,7,2,3,5,7,9,5,6,4,7,16,128,473
17,Erika,4,4,4,4,6,5,2,6,5,6,6,6,2,6,3,5,7,3,4,4,3,6,6,4,10,7,20,128,473
18,A Little Tipsy,4,4,6,4,4,3,4,7,4,7,6,3,3,6,3,3,5,3,4,5,14,6,5,4,4,7,18,128,486
19,Tip-sy Nor,4,5,5,5,6,2,5,5,6,6,6,3,1,5,4,4,6,2,4,4,7,7,8,5,5,6,36,126,514
20,Da DYLSTER,3,4,5,4,6,2,5,7,6,3,6,4,3,6,3,5,6,2,3,4,6,7,5,5,10,6,14,126,520
21,ROB BARTUS,6,5,6,3,5,2,8,5,6,5,6,3,2,7,3,5,7,2,3,5,4,7,6,3,5,6,16,125,429
22,Marty Holliss,4,4,5,4,6,2,4,5,5,4,6,4,5,7,2,5,6,2,3,6,5,5,5,5,10,6,16,125,496
23,Reeeeeety!,4,4,5,2,5,4,5,5,14,6,7,2,3,4,2,4,5,4,3,5,6,7,5,4,3,6,34,124,496
24,Liams tipping,5,5,6,3,5,2,4,10,5,4,5,4,4,7,2,5,6,3,5,5,7,7,3,5,5,2,16,124,500
25,Superior Fursdon,5,5,5,3,4,3,4,5,4,6,7,3,2,6,3,5,7,2,3,6,4,6,5,5,10,6,20,124,536
26,Lady Leroy,4,5,5,5,5,2,5,9,4,5,7,3,2,6,1,6,5,2,4,5,10,6,5,3,5,5,36,124,536
27,Haydo,4,4,5,3,7,4,5,7,5,5,4,4,3,6,2,4,5,1,3,6,5,7,4,4,6,10,32,123,438
28,Corey Rush,4,6,2,3,6,4,5,17,5,5,5,4,2,4,2,5,5,1,5,4,6,5,5,4,5,4,41,123,494
29,josh284,5,5,3,3,4,2,5,7,5,4,6,3,3,7,2,5,4,2,3,6,6,14,4,5,5,5,30,123,522
30,DanTau,5,5,5,3,5,3,10,4,5,6,6,4,3,6,3,4,6,2,4,4,3,6,5,4,5,6,36,122,534
31,NRussell26,5,5,4,4,5,3,8,6,4,6,5,4,3,7,2,5,4,2,2,6,6,6,4,5,5,5,30,121,499
32,Birko,5,5,5,3,4,2,6,7,7,3,6,3,2,5,1,5,4,2,5,6,5,12,4,4,5,5,30,121,519
33,Dan Davis,5,4,5,3,3,3,8,5,5,7,5,3,4,7,3,5,5,1,4,6,5,7,5,2,4,6,16,120,477
34,Emzie June,5,4,5,3,6,1,6,7,5,4,4,3,3,6,2,5,5,2,3,5,5,12,4,4,5,6,20,120,494
35,Broncos Pride,4,4,6,5,6,4,4,5,4,5,7,3,3,7,0,10,6,1,6,4,6,5,5,5,5,0,26,120,562
36,Jason Kruys,4,6,5,4,3,2,5,6,4,10,6,4,4,6,2,5,4,2,5,0,5,9,6,4,2,6,36,119,532
37,ASAP TB,3,5,5,3,6,4,5,4,6,5,5,3,2,6,3,4,5,2,5,5,5,5,8,5,5,4,36,118,576
38,LMHarris,4,5,6,4,4,1,5,17,4,3,5,3,2,3,2,4,7,2,4,4,6,5,1,4,5,6,32,116,539
39,Eazyyyy,5,5,3,3,5,4,4,5,4,5,6,4,4,7,2,5,4,1,4,4,5,4,6,6,4,6,6,115,542
40,Tegan,2,7,7,1,6,2,6,3,3,7,5,6,1,4,3,4,5,2,3,5,5,6,4,4,3,9,20,113,522
41,Willsy.,5,6,5,4,6,3,4,6,3,4,6,3,2,7,1,3,5,0,3,10,5,4,5,3,5,4,26,112,578
42,Polly,5,4,5,3,6,0,5,7,6,14,6,3,2,6,1,5,6,1,4,5,5,6,2,4,0,0,26,111,508
43,Martin-O-Martin,5,6,6,2,3,4,6,7,5,4,5,3,4,4,3,0,5,3,4,6,3,6,6,4,4,0,26,108,491
44,Josh,3,6,3,3,6,2,3,7,6,7,0,0,3,0,2,6,4,4,1,6,4,7,10,3,5,6,16,107,517
45,Corey Mcspadden,4,5,6,2,5,4,5,3,4,4,6,2,3,4,3,3,6,1,6,4,6,6,4,6,3,0,26,105,558
46,Estephanie R ,4,4,5,3,5,2,5,5,5,6,4,3,4,5,2,5,5,1,3,5,4,7,3,4,2,3,30,104,552
47,Jaylan Rowe,5,6,4,2,4,2,5,8,3,5,6,0,4,6,1,5,6,1,5,4,0,6,5,3,5,0,26,101,546
48,Artie,4,6,5,3,5,3,5,7,4,4,3,3,2,3,2,4,5,2,3,3,3,3,5,6,3,0,26,96,567
49,Feldt like Drinkwater,6,3,2,4,6,3,4,5,7,4,5,3,3,2,1,4,6,2,6,8,3,3,0,0,0,0,26,90,553
50,Ryan Koning,4,6,5,3,5,3,4,4,5,5,7,6,0,5,3,5,7,0,0,0,0,0,0,0,0,0,26,77,498
51,Cowen Luxford,3,3,5,5,6,4,4,10,3,5,5,3,2,0,3,4,6,0,0,0,0,0,0,0,0,0,26,71,525
52,Ricky,6,6,5,2,7,4,8,6,4,6,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,62,546
53,Danny,4,4,4,3,3,2,6,5,2,6,3,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,26,49,556
