RANK,NAME,ROUND 1,ROUND 2,ROUND 3,ROUND 4,ROUND 5,ROUND 6,ROUND 7,ROUND 8,ROUND 9,ROUND 10,ROUND 11,ROUND 12,ROUND 13,ROUND 14,ROUND 15,ROUND 16,ROUND 17,ROUND 18,ROUND 19,ROUND 20,ROUND 21,ROUND 22,ROUND 23,ROUND 24,ROUND 25,ROUND 26,ROUND 27,ROUND 28,ROUND 29,ROUND 29 MARGIN,TOTAL SCORE,TOTAL MARGIN
1,TH,6,6,5,4,5,2,6,17,5,6,6,6,2,7,3,5,7,2,3,4,6,7,6,5,5,6,5,2,1,26,150,490
2,Nardu21,4,6,6,4,6,3,4,6,4,7,6,6,3,7,3,6,7,3,3,6,7,14,5,4,5,6,5,3,1,28,150,577
3,Brendon,4,4,5,4,6,4,4,17,5,5,7,4,3,6,3,5,6,2,5,5,5,9,6,5,5,6,4,3,0,46,147,558
4,shaun mclean,6,6,4,5,5,2,5,7,4,7,6,3,4,7,3,5,6,2,3,10,5,9,6,4,5,7,5,1,1,26,143,524
5,Lee Ding,4,6,6,3,7,4,4,6,7,6,7,3,5,7,3,5,5,2,3,6,10,6,6,4,3,6,4,2,3,27,143,530
6,Jess J ,3,5,6,4,4,2,5,7,6,6,6,4,4,7,3,5,6,2,4,5,6,14,4,4,5,7,5,2,1,30,142,517
7,Bradders91,6,3,4,3,6,3,10,6,6,7,6,6,5,5,3,3,6,1,5,6,6,7,4,4,5,6,6,3,1,30,142,530
8,Joeydav81,7,3,4,2,14,2,5,6,6,7,6,4,2,4,3,6,6,2,3,5,9,9,5,5,4,4,4,2,3,28,142,535
9,Larco,6,5,5,2,7,3,10,5,7,4,5,6,3,6,2,4,6,3,5,5,7,9,5,3,4,6,5,1,0,46,139,620
10,PayneLast,5,6,4,3,6,3,5,5,5,6,7,3,2,6,3,5,12,1,3,6,5,6,7,5,5,7,5,2,0,38,138,537
11,Erika,4,4,4,4,6,5,2,6,5,6,6,6,2,6,3,5,7,3,4,4,3,6,6,4,10,7,6,3,1,31,138,543
12,Line Breaker,4,4,5,3,5,3,5,6,12,6,7,4,1,7,1,5,7,3,4,6,6,7,5,4,5,6,4,2,1,26,138,545
13,A Little Tipsy,4,4,6,4,4,3,4,7,4,7,6,3,3,6,3,3,5,3,4,5,14,6,5,4,4,7,5,2,3,26,138,560
14,OhNoBroncos,4,5,5,3,6,2,4,7,5,7,6,3,3,14,3,5,6,2,3,6,6,7,4,4,5,6,4,2,1,26,138,578
15,TimmySoup,4,6,5,4,5,3,8,5,5,7,7,4,5,7,3,5,7,2,3,6,4,7,4,4,5,6,2,2,1,26,136,518
16,David,5,5,5,3,6,3,3,9,4,5,6,4,2,5,3,4,5,1,4,10,6,7,7,6,5,6,4,1,1,26,135,553
17,Reeeeeety!,4,4,5,2,5,4,5,5,14,6,7,2,3,4,2,4,5,4,3,5,6,7,5,4,3,6,5,2,3,24,134,550
18,tom reed,6,3,5,6,6,2,5,5,5,5,6,3,1,6,4,5,7,2,3,5,7,9,5,6,4,7,4,1,1,26,134,558
19,Tip-sy Nor,4,5,5,5,6,2,5,5,6,6,6,3,1,5,4,4,6,2,4,4,7,7,8,5,5,6,5,2,1,26,134,588
20,ROB BARTUS,6,5,6,3,5,2,8,5,6,5,6,3,2,7,3,5,7,2,3,5,4,7,6,3,5,6,5,2,1,26,133,479
21,Liams tipping,5,5,6,3,5,2,4,10,5,4,5,4,4,7,2,5,6,3,5,5,7,7,3,5,5,2,5,2,1,26,132,552
22,josh284,5,5,3,3,4,2,5,7,5,4,6,3,3,7,2,5,4,2,3,6,6,14,4,5,5,5,6,2,1,28,132,574
23,Lady Leroy,4,5,5,5,5,2,5,9,4,5,7,3,2,6,1,6,5,2,4,5,10,6,5,3,5,5,5,2,1,26,132,586
24,Da DYLSTER,3,4,5,4,6,2,5,7,6,3,6,4,3,6,3,5,6,2,3,4,6,7,5,5,10,6,4,2,0,46,132,616
25,Marty Holliss,4,4,5,4,6,2,4,5,5,4,6,4,5,7,2,5,6,2,3,6,5,5,5,5,10,6,4,1,1,28,131,564
26,Superior Fursdon,5,5,5,3,4,3,4,5,4,6,7,3,2,6,3,5,7,2,3,6,4,6,5,5,10,6,5,1,1,30,131,616
27,Haydo,4,4,5,3,7,4,5,7,5,5,4,4,3,6,2,4,5,1,3,6,5,7,4,4,6,10,4,2,1,32,130,494
28,Robyn,5,6,6,3,7,2,4,7,6,7,12,3,3,6,3,6,4,3,4,6,6,7,5,3,5,0,0,0,1,26,130,525
29,Dan Davis,5,4,5,3,3,3,8,5,5,7,5,3,4,7,3,5,5,1,4,6,5,7,5,2,4,6,5,2,3,26,130,547
30,Birko,5,5,5,3,4,2,6,7,7,3,6,3,2,5,1,5,4,2,5,6,5,12,4,4,5,5,5,3,1,24,130,591
31,NRussell26,5,5,4,4,5,3,8,6,4,6,5,4,3,7,2,5,4,2,2,6,6,6,4,5,5,5,5,2,1,26,129,552
32,Corey Rush,4,6,2,3,6,4,5,17,5,5,5,4,2,4,2,5,5,1,5,4,6,5,5,4,5,4,4,1,1,26,129,564
33,DanTau,5,5,5,3,5,3,10,4,5,6,6,4,3,6,3,4,6,2,4,4,3,6,5,4,5,6,5,1,1,26,129,604
34,Broncos Pride,4,4,6,5,6,4,4,5,4,5,7,3,3,7,0,10,6,1,6,4,6,5,5,5,5,0,5,3,1,26,129,647
35,Emzie June,5,4,5,3,6,1,6,7,5,4,4,3,3,6,2,5,5,2,3,5,5,12,4,4,5,6,5,1,1,30,127,560
36,Jason Kruys,4,6,5,4,3,2,5,6,4,10,6,4,4,6,2,5,4,2,5,0,5,9,6,4,2,6,4,2,1,26,126,582
37,ASAP TB,3,5,5,3,6,4,5,4,6,5,5,3,2,6,3,4,5,2,5,5,5,5,8,5,5,4,6,0,0,36,124,646
38,LMHarris,4,5,6,4,4,1,5,17,4,3,5,3,2,3,2,4,7,2,4,4,6,5,1,4,5,6,3,2,0,42,121,613
39,Eazyyyy,5,5,3,3,5,4,4,5,4,5,6,4,4,7,2,5,4,1,4,4,5,4,6,6,4,6,5,0,0,36,120,612
40,Tegan,2,7,7,1,6,2,6,3,3,7,5,6,1,4,3,4,5,2,3,5,5,6,4,4,3,9,5,1,0,42,119,586
41,Martin-O-Martin,5,6,6,2,3,4,6,7,5,4,5,3,4,4,3,0,5,3,4,6,3,6,6,4,4,0,5,2,1,26,116,541
42,Estephanie R ,4,4,5,3,5,2,5,5,5,6,4,3,4,5,2,5,5,1,3,5,4,7,3,4,2,3,8,3,1,24,116,620
43,Willsy.,5,6,5,4,6,3,4,6,3,4,6,3,2,7,1,3,5,0,3,10,5,4,5,3,5,4,3,1,0,36,116,638
44,Polly,5,4,5,3,6,0,5,7,6,14,6,3,2,6,1,5,6,1,4,5,5,6,2,4,0,0,0,0,0,36,111,568
45,Josh,3,6,3,3,6,2,3,7,6,7,0,0,3,0,2,6,4,4,1,6,4,7,10,3,5,6,3,0,0,36,110,587
46,Jaylan Rowe,5,6,4,2,4,2,5,8,3,5,6,0,4,6,1,5,6,1,5,4,0,6,5,3,5,0,0,3,1,30,105,606
47,Corey Mcspadden,4,5,6,2,5,4,5,3,4,4,6,2,3,4,3,3,6,1,6,4,6,6,4,6,3,0,0,0,0,36,105,618
48,Artie,4,6,5,3,5,3,5,7,4,4,3,3,2,3,2,4,5,2,3,3,3,3,5,6,3,0,0,0,0,36,96,627
49,Feldt like Drinkwater,6,3,2,4,6,3,4,5,7,4,5,3,3,2,1,4,6,2,6,8,3,3,0,0,0,0,0,0,0,36,90,613
50,Ryan Koning,4,6,5,3,5,3,4,4,5,5,7,6,0,5,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,36,77,558
51,Cowen Luxford,3,3,5,5,6,4,4,10,3,5,5,3,2,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,36,71,585
52,Ricky,6,6,5,2,7,4,8,6,4,6,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,62,606
53,Danny,4,4,4,3,3,2,6,5,2,6,3,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,36,49,616
