RANK,NAME,ROUND 1,ROUND 2,ROUND 3,ROUND 4,ROUND 5,ROUND 5 MARGIN,TOTAL SCORE,TOTAL MARGIN
38,A Little Tipsy,4,4,6,4,4,44,22,101
29,Artie,4,6,5,3,5,46,23,113
42,ASAP TB,3,5,5,3,6,44,22,145
39,Birko,5,5,5,3,4,54,22,112
33,Bradders91,6,3,4,3,6,44,22,93
26,Brendon,4,4,5,4,6,40,23,99
13,Broncos Pride,4,4,6,5,6,44,25,107
36,Corey Mcspadden,4,5,6,2,5,26,22,97
46,Corey Rush,4,6,2,3,6,46,21,101
35,Cowen Luxford,3,3,5,5,6,42,22,95
41,Da DYLSTER,3,4,5,4,6,52,22,133
52,Dan Davis,5,4,5,3,3,44,20,101
53,Danny,4,4,4,3,3,44,18,97
30,DanTau,5,5,5,3,5,44,23,115
18,David,5,5,5,3,6,42,24,110
49,Eazyyyy,5,5,3,3,5,46,21,107
23,Emzie June,5,4,5,3,6,40,23,91
32,Erika,4,4,4,4,6,40,22,87
45,Estephanie R ,4,4,5,3,5,49,21,100
43,Feldt like Drinkwater,6,3,2,4,6,28,21,79
19,Haydo,4,4,5,3,7,38,23,77
37,Jason Kruys,4,6,5,4,3,44,22,101
48,Jaylan Rowe,5,6,4,2,4,44,21,103
31,Jess J ,3,5,6,4,4,38,22,79
1,Joeydav81,7,3,4,2,14,44,30,82
47,Josh,3,6,3,3,6,40,21,103
51,josh284,5,5,3,3,4,40,20,97
15,Lady Leroy,4,5,5,5,5,44,24,101
12,Larco,6,5,5,2,7,30,25,91
3,Lee Ding,4,6,6,3,7,41,26,82
17,Liams tipping,5,5,6,3,5,50,24,107
44,Line Breaker,4,4,5,3,5,36,21,95
25,LMHarris,4,5,6,4,4,42,23,98
40,Martin-O-Martin,5,6,6,2,3,44,22,129
27,Marty Holliss,4,4,5,4,6,42,23,101
7,Nardu21,4,6,6,4,6,44,26,101
24,NRussell26,5,5,4,4,5,40,23,97
28,OhNoBroncos,4,5,5,3,6,44,23,103
16,PayneLast,5,6,4,3,6,46,24,101
21,Polly,5,4,5,3,6,40,23,87
50,Reeeeeety!,4,4,5,2,5,40,20,95
8,Ricky,6,6,5,2,7,24,26,103
10,ROB BARTUS,6,5,6,3,5,45,25,78
2,Robyn,5,6,6,3,7,44,27,95
22,Ryan Koning,4,6,5,3,5,40,23,91
4,shaun mclean,6,6,4,5,5,40,26,87
34,Superior Fursdon,5,5,5,3,4,44,22,93
20,Tegan,2,7,7,1,6,40,23,83
5,TH,6,6,5,4,5,44,26,91
14,TimmySoup,4,6,5,4,5,44,24,97
11,Tip-sy Nor,4,5,5,5,6,42,25,89
6,tom reed,6,3,5,6,6,44,26,95
9,Willsy.,5,6,5,4,6,48,26,107
