RANK,NAME,ROUND 1,ROUND 2,ROUND 3,ROUND 4,ROUND 5,ROUND 6,ROUND 7,ROUND 8,ROUND 8 MARGIN,TOTAL SCORE,TOTAL MARGIN
1,TH,6,6,5,4,5,2,6,17,9,51,168
2,Brendon,4,4,5,4,6,4,4,17,13,48,172
3,Corey Rush,4,6,2,3,6,4,5,17,11,47,176
4,LMHarris,4,5,6,4,4,1,5,17,11,46,189
5,Ricky,6,6,5,2,7,4,8,6,9,44,182
6,Joeydav81,7,3,4,2,14,2,5,6,13,43,159
7,Larco,6,5,5,2,7,3,10,5,31,43,206
8,Bradders91,6,3,4,3,6,3,10,6,13,41,154
9,ROB BARTUS,6,5,6,3,5,2,8,5,9,40,157
10,shaun mclean,6,6,4,5,5,2,5,7,13,40,164
11,Lee Ding,4,6,6,3,7,4,4,6,16,40,169
12,Robyn,5,6,6,3,7,2,4,7,9,40,172
13,TimmySoup,4,6,5,4,5,3,8,5,9,40,174
14,Cowen Luxford,3,3,5,5,6,4,4,10,9,40,174
15,NRussell26,5,5,4,4,5,3,8,6,11,40,176
16,Lady Leroy,4,5,5,5,5,2,5,9,9,40,178
17,Liams tipping,5,5,6,3,5,2,4,10,9,40,188
18,DanTau,5,5,5,3,5,3,10,4,29,40,228
19,Haydo,4,4,5,3,7,4,5,7,13,39,150
20,Willsy.,5,6,5,4,6,3,4,6,11,39,188
21,Nardu21,4,6,6,4,6,3,4,6,13,39,188
22,David,5,5,5,3,6,3,3,9,11,39,189
23,Martin-O-Martin,5,6,6,2,3,4,6,7,9,39,211
24,tom reed,6,3,5,6,6,2,5,5,29,38,192
25,Artie,4,6,5,3,5,3,5,7,9,38,195
26,Broncos Pride,4,4,6,5,6,4,4,5,9,38,214
27,Emzie June,5,4,5,3,6,1,6,7,13,37,170
28,PayneLast,5,6,4,3,6,3,5,5,11,37,186
29,Tip-sy Nor,4,5,5,5,6,2,5,5,25,37,188
30,Birko,5,5,5,3,4,2,6,7,11,37,209
31,Jess J ,3,5,6,4,4,2,5,7,23,36,162
32,Jaylan Rowe,5,6,4,2,4,2,5,8,13,36,184
33,Dan Davis,5,4,5,3,3,3,8,5,17,36,184
34,A Little Tipsy,4,4,6,4,4,3,4,7,11,36,186
35,OhNoBroncos,4,5,5,3,6,2,4,7,15,36,190
36,Da DYLSTER,3,4,5,4,6,2,5,7,33,36,242
37,Polly,5,4,5,3,6,0,5,7,5,35,150
38,Erika,4,4,4,4,6,5,2,6,17,35,155
39,Line Breaker,4,4,5,3,5,3,5,6,20,35,165
40,Jason Kruys,4,6,5,4,3,2,5,6,9,35,197
41,ASAP TB,3,5,5,3,6,4,5,4,29,35,258
42,Tegan,2,7,7,1,6,2,6,3,11,34,154
43,Ryan Koning,4,6,5,3,5,3,4,4,19,34,164
44,Reeeeeety!,4,4,5,2,5,4,5,5,11,34,174
45,josh284,5,5,3,3,4,2,5,7,15,34,176
46,Corey Mcspadden,4,5,6,2,5,4,5,3,25,34,190
47,Eazyyyy,5,5,3,3,5,4,4,5,11,34,194
48,Superior Fursdon,5,5,5,3,4,3,4,5,15,34,194
49,Marty Holliss,4,4,5,4,6,2,4,5,27,34,196
50,Feldt like Drinkwater,6,3,2,4,6,3,4,5,13,33,158
51,Josh,3,6,3,3,6,2,3,7,9,33,183
52,Estephanie R ,4,4,5,3,5,2,5,5,15,33,198
53,Danny,4,4,4,3,3,2,6,5,25,31,190
